bygning_navn	eiendom	objekt_type	objekt_tekst	AddressLine1	Anleggstype	Antall armaturer	Antall dyser	Antall flasker / boks	BasedOn	Bruksformål	CertificateNumber	Contact	Date	DeliveryDate	Dimensjon	DoneBy	Email	EquipmentComment	Etasje	Fabrikat	Finnes det loggbok	Flasker â€“ produksjonsår	Flasketrykk	Georef	InstallationID	Installations nr	Instruks	KgL	LastEquipmentInstallationNumber	Legionellagjennomspyling gjennomført	Lengde	Leverandør Objekt ID	Merknader	Navn	Neste kontroll	Overflate	Place	Plassering	ProductID	Produksjonsår	Produsent	PropertyID	Regelverk beregning	Rom nummer	RomNr	Romnummer	Sign	Siste kontroll	Skilt	Slange	Slokkemiddel	Status funksjoner	Status utstyr	StatusAreas	StatusFences	StatusVegetation	Stralerør	Telephone	Temperatur kaldtvann	Temperatur varmtvann	Tid (minutter)	Tilforsel	Trommel	Trykkprøve	Type dusj	Type slokkemiddel	Typebetegnelse	TypeID	Vann	Vedlikeholdstype	Vendor	VendorId	Volum beregnet m2	Volum målt m3	ZipCode	
Rødtvet skole. Superkube	Rødtvet skole	HS	Håndslukker																S0									6 liter				002999952219			2021-04-20			Ventilasjonsrom S 0336		2020-06-11				13				2021-04-20			B/BE															SK				A						
Rødtvet skole. Varmesentral	Rødtvet skole	HS	Håndslukker																									5 kg				002999952252			2021-04-26			01 Fyrhus/pellet		2020-06-11								2021-04-26			B/BE															CO2				A						
Sedsvoll skole. Sedsvoll 2. Gamlebygningen	Sedsvoll skole	HS	Håndslukker																01									6 kg				002999932913	Ikke godkjent		2021-09-21			inngangsparti		1995-05-03				01				2021-09-21			ABC/ABE															PU				A						
Sedsvoll skole. Sedsvoll 2. Hovedbygning	Sedsvoll skole	HS	Håndslukker																02									6 liter				002999959885			2021-09-21			vaskeri v inngang		2020-10-14				02				2021-09-21			B/BE															SK				A						
Sedsvoll skole. Sedsvoll 2. Rødstua	Sedsvoll skole	HS	Håndslukker																01									6 liter				002999932925	Ikke godkjent		2021-09-21			stue v inngang kjøkken		2016-10-03				01				2021-09-21			AB															SK				A						
Sedsvoll skole. Sedsvoll 2. Verkstedbygning	Sedsvoll skole	HS	Håndslukker																01									6 kg				002999958435			2021-09-21			verksted		2020-10-15				03				2021-09-21			B/BE															PU				A						
Sedsvoll skole. Sedsvoll 2. Villa	Sedsvoll skole	HS	Håndslukker																01									6 kg				002999958427			2021-09-21			inngangsparti gymsal		2020-10-14				01				2021-09-21			ABC/ABE															PU				A						
Sedsvoll skole. Sedsvoll 3. Internatbygg	Sedsvoll skole	HS	Håndslukker																02									6 liter				002999959877	Ikke godkjent		2021-09-21			vaskeri v inngang		2020-10-13				07				2021-09-21			B/BE															SK				A						
Sedsvoll skole. Sedsvoll 3. Nedre paviljong	Sedsvoll skole	HS	Håndslukker																01									6 liter				002999932928	Ikke godkjent		2021-09-21			sløydsal v vask		2014-11-02				02				2021-09-21			ABC/ABE															SK				A						
Sedsvoll skole. Sedsvoll 3. Trialverksted	Sedsvoll skole	HS	Håndslukker																01									5 kg				002999958428			2021-09-21			trailbod verksted		2020-10-14				01				2021-09-21			B/BE															PU				A						
Sedsvoll skole. Sedsvoll 3. Øvre paviljong	Sedsvoll skole	HS	Håndslukker																01									6 kg				002999959887			2021-09-21			Rødt bygg midt på plassen Nr 12		2020-10-14				01				2021-09-21			ABC/ABE															PU				A						
Seterbråten skole. Admin. Bygg 2	Seterbråten skole	HS	Håndslukker																02									6 liter				002999928934			2021-10-20			bygg 2 ventilation rom 240		2019-10-15				05				2021-10-20			B/BE															SK				A						
Seterbråten skole. Bygg 1	Seterbråten skole	HS	Håndslukker																									5 kg				002999928932			2021-10-20			U01 Bygg 1vent rom 125		2019-10-15								2021-10-20			B/BE															CO2				A						
Seterbråten skole. Bygg 3	Seterbråten skole	HS	Håndslukker																03									6 liter				804930779773	Utgått på dato		2021-10-20			U03 bygg 3 v ventilasjon rom 001		2019-10-15				14				2021-10-20			B/BE															SK				B						
Sinsen skole	Sinsen skole	HS	Håndslukker																05									6 liter				804930217497	Skiftet pga alder		2021-09-10			Ventilasjonsrom v/heis		2021-09-10				09				2021-09-10			B/BE															SK				D						
Skjønnhaug skole. Akt.skolen paviljong	Skjønnhaug skole	HS	Håndslukker																02									6kg				002999938912	For gammel. Må byttes		2021-04-06			SFO trappegang 2etg		2016-08-21				03				2021-04-06			BC pulver															CO2				B						
Skjønnhaug skole. Bygning A	Skjønnhaug skole	HS	Håndslukker																A0									6kg				002999938920			2021-04-06			heimkunskap v inngang		2018-07-21				00				2021-04-06			BC pulver															CO2				A						
Skøyen idrettshall	Skøyen idrettshall	HS	Håndslukker																01									6 liter				002999930114	Ikke godkjent		2021-08-27			Idrettshall tribune		2015-10-11				24				2021-08-27			B/BE															SK				A						
Skøyen idrettshall. Lager	Skøyen idrettshall	HS	Håndslukker																01									6 kg				003009929660			2021-08-27			Bygg H ventilasjon hall		2019-09-26				14				2021-08-27			B/BE															PU				A						
Skøyen skole. Hovedbygning	Skøyen skole	HS	Håndslukker																02									6 liter				003009929651	Ikke godkjent		2021-08-27			Reserve		2017-09-26				04				2021-08-27			ABC/ABE															SK				A						
Skøyen skole. Superkube	Skøyen skole	HS	Håndslukker																02									6 kg				003009929659	Ikke godkjent		2021-08-27			Bikuben vvs rom		2011-10-11				19				2021-08-27			ABC/ABE															PU				A						
Sofienberg Bygg C Språksenteret	Sofienberg Bygg C Språksenteret	HS	Håndslukker																U10									6 liter				002999938743	Flyttet  til kontrolliste på bygg B		2021-04-21			ventilasjonsrom loft v utgang		2018-07-05				U2				2021-04-21			B/BE															SK				D						
Sofienberg ungdomsskole. Bygg A	Sofienberg ungdomsskole	HS	Håndslukker																U20									6 kg				500000011297			2021-04-20			yrrom U207		2020-04-28				4				2021-04-20			B/BE															PU				A						
Sofienberg ungdomsskole. Bygg B	Sofienberg ungdomsskole	HS	Håndslukker																U10									6 kg				500000011298			2021-04-21			ventilasjonsrom 502 v inngang		2015-04-23				1				2021-04-21			B/BE															PU				A						
Sollerudstranda skole. Barnehage	Sollerudstranda skole	HS	Håndslukker																									6 kg				002999918338			2021-10-13			01 VED KJØKKEN		2017-10-03								2021-10-13			ABC/ABE															PU				A						
Sollerudstranda skole. Bygg 1. Avd. Nordmarka	Sollerudstranda skole Nordmarka	HS	Håndslukker																									6 kg				002999955251	Erstattet		2021-11-26			VERKSTED UTE		2020-09-02								2021-11-26			ABC/ABE															PU				A						
Sollerudstranda skole. Bygg 1. Maritim avd.	Sollerudstranda skole	HS	Håndslukker																									6 kg				002999918327	Ikke godkjent		2021-10-13			01 VED INNGANGEN		2011-10-02								2021-10-13			ABC/ABE															PU				A						
Sollerudstranda skole. Bygg 12. Hovedbygg Frantzef	Sollerudstranda skole	HS	Håndslukker																									6 kg				002999955297	Må skiltes		2021-10-13			KJ VED FYRROM		2020-10-12								2021-10-13			B/BE															PU				D						
Sollerudstranda skole. Bygg 13. Kystkult. Senter	Sollerudstranda skole	HS	Håndslukker																									6 liter				002999955308	Håndtak og utløsningsmekanisme er ødelagt,må skiftes		2021-10-13			BYGG 1301. VED INNGANGEN BRANNSENTRAL		2020-08-18								2021-10-13			skum															PU				B						
Sollerudstranda skole. Bygg 2. Dyrafjell	Sollerudstranda skole	HS	Håndslukker																									6 kg				002999918326	Grunnet alder		2021-10-13			01 VERKSTED		2011-10-02								2021-10-13			ABC/ABE															PU				B						
Sollerudstranda skole. Bygg 3. Maritim avd.	Sollerudstranda skole	HS	Håndslukker																									6 kg				002999918319	Grunnet alder, må henges opp		2021-10-13			01 VERKSTED		2014-10-02								2021-10-13			B/BE															PU				B						
Sollerudstranda skole. Bygg 4. Maritim avd.	Sollerudstranda skole	HS	Håndslukker																									6 kg				002999918313	Grunnet alder		2021-10-13			01 VED INNGANGEN		2011-10-02								2021-10-13			ABC/ABE															PU				B						
Sollerudstranda skole. Bygg 5. Hovedbygg Sollerud	Sollerudstranda skole	HS	Håndslukker																									6 kg				002999955307	Må henges opp		2021-10-13			Verksted reserve		2020-08-18								2021-10-13			B/BE															PU				B						
Stasjonsfjellet skole. Bygg A, B, C	Stasjonsfjellet skole	HS	Håndslukker																									6 liter				002999946516	Må monteres til vegg.		2021-03-26			C U. etg. Vaktmester		2020-04-22								2021-03-26			skum															SK				B						
Stasjonsfjellet skole. Bygg D	Stasjonsfjellet skole	HS	Håndslukker																01									6 liter				002999938909			2021-03-26			Teknisk rom D-105		2020-04-22				03				2021-03-26			skum															CO2				A						
Stovner skole. Hovedbygning.	Stovner skole	HS	Håndslukker																M0									6 liter				003009928947	Skiltes slukker innenfor. Slukker må monteres opp		2021-04-09			Ventilasjonrom ute v oppg B		2018-03-25				08				2021-04-09			B/BE															SK				B						
Svendstuen skole. Hovedbygg	Svendstuen skole	HS	Håndslukker																03									6 liter				500000005810	Gått ut på dato for 10 års service. Mangler vecgfeste		2021-03-25			Tekstil/naturfag		2018-03-20				08				2021-03-25			B/BE															SK				B						
Sørkedalen skole. Hovedbygning. Bygg A	Sørkedalen skole	HS	Håndslukker																03									6 liter				500000020721	Fjernet		2021-09-21			vaktmester verksted (reserve)		2020-06-01				08				2021-09-21			B/BE															SK				D						
Sørkedalen skole. Markaskolen	Sørkedalen skole	HS	Håndslukker																03									6 liter				002999932935			2021-09-21			trappegang loft		2014-11-02				02				2021-09-21			AB															SK				A						
Teglverket flerbrukshall	Teglverket flerbrukshall	HS	Håndslukker																02									6 kg				002999946633			2021-04-09			Kjøkken		2015-04-02				02				2021-04-09			ABC/ABE															PU				A						
Teglverket skole	Teglverket skole	HS	Håndslukker																02									6 kg				002999946613			2021-04-09			Personalrom		2015-04-02				07				2021-04-09			ABC/ABE															PU				A						
Tonsenhagen skole. Bygg A	Tonsenhagen skole	HS	Håndslukker																									6 liter				500000019941	Må skiftes		2021-08-25			BYGG A 0202 i grupperom 4		2021-08-25								2021-08-25			B/BE															SK				A						
Tonsenhagen skole. Bygg B/C	Tonsenhagen skole	HS	Håndslukker																									6 liter				500000019940	Erstattet		2021-08-25			BYGG C 0202 sløydsal		2021-08-25								2021-08-25			B/BE															SK				A						
Tonsenhagen skole. Bygg D	Tonsenhagen skole	HS	Håndslukker																									6 liter				500000019932			2021-08-25			Bygg D korridor ved D 209		2019-08-24								2021-08-25			B/BE															SK				A						
Tonsenhagen skole. Bygg E	Tonsenhagen skole	HS	Håndslukker																									6 liter				500000019933	Må skiftes		2021-08-25			BYGG E 0205 teknisk rom 2etasje.		2021-08-25								2021-08-25			B/BE															SK				A						
Tonsenhagen skole. Utebod/skur	Tonsenhagen skole	HS	Håndslukker																									6 kg				002999937766	Erstattet		2021-08-25			BYGG C 0207 Mellomgang grupperom 10		2016-04-20								2021-08-25			B/BE															PU				A						
Toppåsen skole. Adm/bygg C	Toppåsen skole	HS	Håndslukker																03									6 liter				002999953154			2021-09-15			ventilasjonsrom		2020-08-04				07				2021-09-15			skum															SK				A						
Toppåsen skole. Aktivitetsskole. Bygg F	Toppåsen skole	HS	Håndslukker																01									6 kg				002999928975	Dette er tømt og må skiftes ut		2021-09-15			Sfo ventilasjon ute		2015-09-09				05				2021-09-15			B/BE															PU				B						
Toppåsen skole. Klasseromsfløy B	Toppåsen skole	HS	Håndslukker																01									6 liter				002999953153			2021-09-15			ventilasjonsrom i tak v grupperom		2015-09-09				03				2021-09-15			B/BE															SK				A						
Toppåsen skole. Klasseromsfløy E	Toppåsen skole	HS	Håndslukker																01									6 liter				500000021863			2021-09-15			ventilasjonsrom v sløyd		2020-08-04				11				2021-09-15			B/BE															SK				A						
Toppåsen skole. Klasseromsfløy G	Toppåsen skole	HS	Håndslukker																01									5 kg				002999928994			2021-09-15			ventilasjonsrom ute		2015-09-09				02				2021-09-15			B/BE															CO2				A						
Trosterud skole. Admin. bygning	Trosterud skole	HS	Håndslukker																									6 liter				003009928939	Se tidligere rapport. Gått ut på dato		2021-04-23			02 Personalrom		2013-03-25								2021-04-23			B/BE															SK				B						
Trosterud skole. Fritidshjemmet	Trosterud skole	HS	Håndslukker																									6 kg				003009928935			2021-04-23			SFO Kjøkken		2014-03-25								2021-04-23			ABC/ABE															PU				A						
Trosterud skole. Helsebygningen	Trosterud skole	HS	Håndslukker																									6 liter				003009928944	Mangler skilt og oppheng		2021-04-23			01 Kjøkken inng h		2015-03-25								2021-04-23			B/BE															SK				B						
Trosterud skole. Spesialbygg	Trosterud skole	HS	Håndslukker																									6 kg				003009928942	Må skiftes. Fra 2001		2021-04-23			02 Ventilasjonsrom		2016-03-25								2021-04-23			B/BE															PU				B						
Tveita skole	Tveita skole	HS	Håndslukker																01									6 liter				783250195190	Service / byttes 5 år		2021-11-08			Ventilasjon rom		2020-09-17				11				2021-11-08			B/BE															SK				B						
Tåsen skole. Bygg 4	Tåsen skole	HS	Håndslukker																B4									6 liter				500000007797	Utgått på dato		2021-05-07			8 Ventilasjon rom administrasjon v nødutgang		2020-04-27				2				2021-05-07			B/BE															SK				B						
Ullevål skole. Hovedbygning	Ullevål skole	HS	Håndslukker																									6 liter				002999938373	Gammel slokker må byttes..		2021-03-25			U SLØYDEN KERAMIKK ROM		2017-04-03								2021-03-25			B/BE															SK				B						
Uranienborg skole. Bygg 1	Uranienborg skole	HS	Håndslukker																									5 kg				002999922763	Utgått på dato byttes..		2021-11-16			04 TEKNISK ROM 41		1991-11-21								2021-11-16			B/BE															CO2				B						
Uranienborg skole. Bygg 2 (Adm.)	Uranienborg skole	HS	Håndslukker																									5 kg				002999922776			2021-11-16			U TEKNISK ROM		2017-11-21								2021-11-16			B/BE															CO2				A						
Uranienborg skole. Bygg 3	Uranienborg skole	HS	Håndslukker																									5 kg				002999922783			2021-11-16			04 TEKNISK ROM		2017-11-21								2021-11-16			B/BE															CO2				A						
Uranienborg skole. Bygg 4 (tidligere AKS)	Uranienborg skole	HS	Håndslukker																									5 kg				500000038051			2021-11-16			U MAT OG HELSE		2019-09-28								2021-11-16			B/BE															CO2				A						
Vahl skole. Gamle gymsal	Vahl skole	HS	Håndslukker																									2 kg				002999946486			2021-05-28			01 Kjøkken		2020-04-23								2021-05-28			B/BE															CO2				A						
Vahl skole. Gymsal. (Bygg 2)	Vahl skole	HS	Håndslukker																									5 kg				003009929038			2021-05-28			00 Teknisk rom mellom garderober		2015-04-02								2021-05-28			B/BE															CO2				A						
Vahl skole. Hovedbygning. (Bygg1)	Vahl skole	HS	Håndslukker																									6 liter				500000020309			2021-05-28			Vaktmester bod		2020-04-23								2021-05-28			skum															PU				A						
Vahl skole. Rektorboligen	Vahl skole	HS	Håndslukker																									6 liter				003009929043	Apparat brukt.Trykk på rødt		2021-05-28			02 Trappegang		2020-04-23								2021-05-28			skum															PU				B						
Vinderen skole. AKS	Vinderen skole	HS	Håndslukker																									6 kg				002999959827	Utgått på dato byttes.		2021-11-25			U LAGER		2020-09-07								2021-11-25			B/BE															PU				B						
Vinderen skole. Byggetrinn 2	Vinderen skole	HS	Håndslukker																									6 liter				002999933658			2021-11-25			U1 TEKNISK ROM 04		2018-11-26								2021-11-25			B/BE															SK				A						
Vinderen skole. Hovedbygning (Byggetrinn 1-3)	Vinderen skole	HS	Håndslukker																									6 liter				500000038035			2021-11-25			U VED VAKTMESTER		2020-09-07								2021-11-25			B/BE															SK				A						
Voksentoppen skole. Spesialskole	Voksentoppen skole	HS	Håndslukker																03									6 liter				500000036143	Må skiftes ut pga alder		2021-09-06			Verksted		2020-05-08				08				2021-09-06			B/BE															SK				B						
Øraker skole. Hovedbygg	Øraker skole	HS	Håndslukker																									6 liter				804930857983	Utgått på dato byttes.		2021-11-19			U TILFLUKTSROM 2		2020-10-27								2021-11-19			B/BE															SK				B						
Østensjø skole. Bygg 1	Østensjø skole	HS	Håndslukker																Kj									6 liter				500000021524	IG Må ha 10 års service / byttes		2021-10-12			festsalen		2021-10-12				10				2021-10-12			skum															SK				B						
Østensjø skole. Bygg 2	Østensjø skole	HS	Håndslukker																Kj									6 liter				500000000534			2021-10-12			sløyd		2020-09-28				07				2021-10-12			B/BE															SK				A						
Østensjø skole. Bygg 4	Østensjø skole	HS	Håndslukker																Kj									6 liter				500000021526	IG Må ha service / Byttes		2021-10-12			v/ kjøkken sfo		2021-10-12				05				2021-10-12			B/BE															SK				D						
Østensjø skole. Bygg 6	Østensjø skole	HS	Håndslukker																02									6 liter				002999959561			2021-10-12			i gang v/trapp		2020-10-08				02				2021-10-12			skum																			A						
Årvoll skole. Bygg A, B, D, E	Årvoll skole	HS	Håndslukker																									6 liter				804930192374	Må skiftes grunnet alder, må henges opp		2021-11-30			03 Loft, ventilasjon bygg A		2020-09-08								2021-11-30			B/BE															SK				B						
Årvoll skole. Sløydpaviljong C	Årvoll skole	HS	Håndslukker																01									6 liter				002999959604	Må henges opp		2021-11-30			Gang		2020-09-08				01				2021-11-30			AB															SK				B						
Årvoll skole. Superkube	Årvoll skole	HS	Håndslukker																									5 kg				804930217558			2021-11-26			02 Ventilasjonsrom		2014-11-20								2021-11-26			B/BE															CO2				A						
Tomt/mark	Uranienborg skole	LEKEAP	Lekeapparat						6															59.920463,10.718262	200542.014	9								Tomt og uteområde		Sportsdekke gummi:390			NG210		Ukjent																															9				
Tomt/mark	Uranienborg skole	LEKEPL	Lekeplass	Briskebyveien 7							065	Jens Brynildsen	05.07.2021			Ole-Chr. Wiig	Jens.brynildsen@ubf.oslo.kommune.no							59.9200727,10.7196299					14					Uranienborg skole			Oslo					200542					OW					0	1					95830262																	0259	
